Date,Open,High,Low,Close,Adj Close,Volume
2014-01-13,75.701431,80.028572,75.697144,77.238571,66.197319,439677700
2014-01-20,77.284286,79.612854,77.202858,78.010002,66.858467,385276500
2014-01-27,78.581429,79.257141,70.507141,71.514282,61.291309,816627700
2014-02-03,71.801430,74.704285,71.328575,74.239998,63.627388,433633900
2014-02-10,74.094284,77.997147,74.000000,77.712860,69.498520,379059800
2014-02-17,78.000000,78.741432,74.942856,75.035713,67.104340,289665600
2014-02-24,74.735718,76.107140,73.657143,75.177139,67.230804,367732400
2014-03-03,74.774284,76.392860,74.687141,75.777145,67.767372,276050600
2014-03-10,75.480003,77.094284,74.714287,74.955711,67.032784,288019200
2014-03-17,75.385712,76.605713,75.028572,76.124283,68.077827,304098200
2014-03-24,76.917145,78.428574,76.321426,76.694283,68.587601,340089400
2014-03-31,77.032860,77.639999,75.797142,75.974289,67.943726,246861300
2014-04-07,75.431427,76.034286,73.877144,74.230003,66.383789,312819500
2014-04-14,74.557144,75.394287,73.047142,74.991432,67.064743,242816000
2014-04-21,75.048569,81.712860,74.851425,81.705711,73.069313,482559700
2014-04-28,81.828575,85.632858,81.792854,84.654289,75.706215,474766600
2014-05-05,84.305717,86.344284,82.904289,83.648575,74.806801,366597700
2014-05-12,83.927139,85.361427,83.628571,85.358574,79.424072,261613100
2014-05-19,85.407143,87.818573,85.332855,87.732857,81.633316,295605100
2014-05-26,87.982857,92.024284,87.947144,90.428574,84.141617,401210600
2014-06-02,90.565712,93.037140,88.928574,92.224289,85.812477,412821500
2014-06-09,92.699997,95.050003,90.879997,91.279999,84.933846,293147000
2014-06-16,91.510002,92.750000,90.900002,90.910004,84.589569,235227000
2014-06-23,91.320000,92.000000,89.650002,91.980003,85.585167,216257000
2014-06-30,92.099998,94.099998,92.089996,94.029999,87.492630,139062100
2014-07-07,94.139999,96.800003,93.519997,95.220001,88.599915,231830000
2014-07-14,95.860001,97.099998,92.570000,94.430000,87.864822,248970200
2014-07-21,94.989998,97.879997,93.720001,97.669998,90.879570,276392000
2014-07-28,97.820000,99.440002,94.809998,96.129997,89.446640,236825000
2014-08-04,96.370003,96.580002,93.279999,94.739998,88.153275,223025000
2014-08-11,95.269997,98.190002,94.839996,97.980003,91.621513,179363000
2014-08-18,98.489998,101.470001,97.980003,101.320000,94.744743,247332000
2014-08-25,101.790001,102.900002,100.699997,102.500000,95.848152,238846000
2014-09-01,103.059998,103.739998,97.790001,98.970001,92.547249,323160000
2014-09-08,99.300003,103.080002,96.139999,101.660004,95.062691,462051800
2014-09-15,102.809998,103.050003,98.889999,100.959999,94.408112,297352900
2014-09-22,101.800003,102.940002,97.720001,100.750000,94.211754,338824900
2014-09-29,98.650002,101.540001,98.040001,99.620003,93.155067,247749100
2014-10-06,99.949997,102.379997,98.309998,100.730003,94.193039,280258200
2014-10-13,101.330002,101.779999,95.180000,97.669998,91.331619,358539800
2014-10-20,98.320000,105.489998,98.220001,105.220001,98.391663,358532900
2014-10-27,104.849998,108.040001,104.699997,108.000000,100.991234,220230600
2014-11-03,108.220001,110.300003,107.720001,109.010002,101.935707,199952900
2014-11-10,109.019997,114.190002,108.400002,114.180000,107.233170,205166700
2014-11-17,114.269997,117.570000,113.300003,116.470001,109.383842,233414700
2014-11-24,116.849998,119.750000,116.620003,118.930000,111.694160,181873900
2014-12-01,118.809998,119.250000,111.269997,115.000000,108.003265,266589700
2014-12-08,114.099998,114.849998,109.349998,109.730003,103.053902,259868000
2014-12-15,110.699997,113.239998,106.260002,111.779999,104.979164,328856600
2014-12-22,112.160004,114.519997,111.970001,113.989998,107.054726,119396500
2014-12-29,113.790001,114.769997,107.349998,109.330002,102.678230,152088400
2015-01-05,108.290001,113.250000,104.629997,112.010002,105.195190,283252500
2015-01-12,112.599998,112.800003,105.199997,105.989998,99.541428,303607000
2015-01-19,107.839996,113.750000,106.500000,112.980003,106.106171,198737000
2015-01-26,113.739998,120.000000,109.029999,117.160004,110.031860,465842700
2015-02-02,118.050003,120.510002,116.080002,118.930000,111.694160,270757300
2015-02-09,118.550003,127.480003,118.430000,127.080002,119.819328,303206800
2015-02-16,127.489998,129.500000,126.919998,129.500000,122.101074,194354900
